REGION,MARKET,DEV_MANAGER,SITEID,SITE_NAME,FOPS_ASSIGNEE,SITE_CLASS,MAGENTABUILT_STATUS,OA_DATE,POWER_METER,BREAKER_SIZE,GEN_PLUG,ACCESS_DETAILS,SITE_SECURITY_ISSUES,PORTABLE_GENERATOR_CAPABLE,PORTABLE_GEN_PLUG,PORTABLE_GEN_CORD_LENGTH,PORTABLE_GEN_ACCESS_NOTES,FACILITY_COMBO,OTHER_COMBO,POWER_COMBO,TELCO_AAV_COMBO,TELCO_GATE_COMBO,SITE_24X7,POWER_24X7,TELCO_24X7,OTHER_24X7,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,SITE_NOTES,SITE_DIRECTIONS,FACILITY_ACCESS_NOTES,FACILITY_NOTIFICATION_REQUIRED,FACILITY_NOTIFICATION_PERIOD,POWER_ACCESS_NOTES,POWER_NOTIFICATION_REQUIRED,POWER_NOTIFICATION_PERIOD,TELCO_DEMARC_LOCATION,TELCO_AAV_NID_LOCATION,TMO_NID_LOCATION,TELCO_ACCESS_NOTES,TELCO_NOTIFICATION_REQUIRED,TELCO_NOTIFICATION_PERIOD,OTHER_ACCESS_NOTES,OTHER_NOTIFICATION_REQUIRED,OTHER_NOTIFICATION_PERIOD,EME_SIGNAGE_VISIT_REQUIRED,EME_AUDIT_LAST_PERFORMED
CENTRAL,ARKANSAS,TMO:  Andrea McCoy / Smartlink:  Shawn Sutton,AR01971A,Melbourne Crown 839874,Matthew Kiel (MKiel1),Guyed Tower,ON-AIR,2025-12-12,AM12919227,200.0,,24/7 Access: CC Gate Code 7011 | TMO code 6969. No special access requirements.,,Yes,Cam Lock,25.0,No,,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Kansas City MO switch: Head to I-44 E. Continue on US-169 S and take the exit to merge onto I-44 W toward Tulsa. Stay on I-44 W and take the exit for I-49 S toward Fayetteville, AR. Continue south on I-49 S, heading toward Fort Smith, and cross into Arkansas. Once in the Little Rock area, take exit 139B for I-30 S toward Texarkana. Merge onto I-30 S, and take exit 126B to merge onto I-40 E toward Memphis. Stay on I-40 E, then take exit 123B for US-167 N toward Batesville. Continue on US-167 N, passing through Batesville. Take the exit toward AR-69 N/Old Larkin Rd. Turn left onto Old Larkin Rd, and continue until you reach 427 Old Larkin Rd in Melbourne, AR. Your destination, 427 Old Larkin Rd, will be on your right.",,,,,,,,,,,,,,,,No,
CENTRAL,PITTSBURGH PA,Concordia,A4K1825A,US-OH-5136/Tappan Lake,Carl Mason (CMason26),Self Support Tower,ON-AIR,2025-12-12,130116595,200.0,,"*********************
Lease Access Details
*********************
Vertical Bridge Sites:
This is a Vertical Bridge (VB) site, and you need to check in and out with them by calling 877-589-6411 or email aton.noc@spx.com. VB site reference number is US-OH-5136. Please verify all codes/combos and special instructions to get access.  If issue, call NOC to verify info or open ticket. Get NTP from VB if needing tower climb. 

Vertical Bridge Regional Operations Manager:
Name: Mark West
Phone: (740) 294-1567
Email: mark.west@verticalbridge.com

*************************
Additional Access Details
*************************
T-Mobile and its employees, agents and contractors may enter the Property without notice to Vertical Bridge twenty-four (24) hours a day, seven (7) days a week, at no charge, to obtain entry to the Premises.
Gate code: 0951
VB NOC, 877-589-6411, FlashNOC@spx.com. Reference VB site US-OH-5 136.",,Yes,Cam Lock,25.0,Yes,0951,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"DRIVING DIRECTIONS FROM T- MOBILE AT 6200 OAK TREE BLVD INDEPENDENCE, OH
44131 :
1. HEAD SOUTHEAST TOWARD OAK TREE BLVD 351 FT
2. TURN LEFT ONTO OAK TREE BLVD 0.4 MI
3. USE THE RIGHT LANE TO TURN RIGHT ONTO ROCKSIDE RD 0.4 MI
4. TURN RIGHT TO MERGE ONTO I-77 S TOWARD AKRON 0.3 MI
5. MERGE ONTO I-77 S 26.2 MI
6. USE THE RIGHT 2 LANES TO TAKE EXIT 129 TO MERGE ONTO I-76 W TOWARD I-277/CANTON/US-2 1.7 MI
7. USE THE LEFT 2 LANES TO TAKE EXIT 18 TO MERGE ONTO I-277 E/US-224 E TOWARD CANTON 3.9 MI
8. TAKE EXIT 4A TO MERGE ONTO I-77 S TOWARD CANTON 41.9 MI
9. TAKE EXIT 81 FOR US 250 E TOWARD UHRICHVILLE 0.5 MI
10. CONTINUE ONTO US-250 E 9.5 MI
11. TURN TIGHT ONTO THE RAMP TO US-250 E/OH-800 S/CADIZZ/DENNISON 0.2 MI
12. MERGE ONTO US-36 E 0.2 MI
13. CONTINUE ONTO US-250 E 14.3 MI
14. TURN LEFT ONTO BEAVER BAY RD 0.8 MI TOTAL TRAVEL ESTIMATE: 100 MI, 1 HR 41 MINS*  Access Time Frame - 24/7
*  Site Access Notes - VERTICLE BRIDGE	
*  BTS Access Notes - 
*  Access Code - NONE
*  Equipment Code - 0951
*  Reviewed - CM 3/9/26",,,,,,,,,,,,,,,,No,
CENTRAL,ST. LOUIS,Branch - Morgan,MO14305A,Harmoni MO0004500 Bunker,Casey Wasson (CWasson),Self Support Tower,ON-AIR,2025-12-11,073-02-0232,200.0,,Gate Code Access Info Parallel 4601,,Yes,Cam Lock,50.0,No,4601,,,,,No,,,,07:00-19:00,,,,,,,,"St. Louis Switch: heading northwest, then turn left toward Westport Center Dr, and right onto Westport Center Dr. Continue to State Hwy D/Page Ave, and follow I-270 S, I-55 S, and US-67 S to the MO-32 W exit toward Leadington. Merge onto MO-32 W and follow for 10.4 miles, then turn left onto State Hwy N/Cedar St. Follow State Hwy N for 9.5 miles, then turn right onto MO-21 N for 0.5 miles. Turn left back onto State Hwy N for 18.8 miles, then stay right to continue on MO-21 S/MO-72 W. Continue for 8.2 miles, then turn right onto MO-72 W. After 17.1 miles, turn left toward 2nd St, continue onto 2nd St, then turn right onto Teddy Ave. Your destination will be on the left in Bunker, Missouri.",,,,,,,,,,,,,,,,No,
CENTRAL,DETROIT MI,Terah Larsen,DE01657A,Diamond Communications MI093 - Howell,Troy Haven (THaven1),Monopole,ON-AIR,2025-12-11,62597147,200.0,1.0,"Diamond Communications LLC site #- MI093 (Latson Rd.) 1-800-260-3226 Monopole
Access point of contact is Kevin Philip – 614-286-5020 / kphilip@diamondcomm.com. 
Gate code is 0608. cabinet 5463 24X7 access, gen deployable- cam locks 
Access drive is down a steep hill*** 12-24-25",,Yes,Cam Lock,30.0,Yes,0608/5463,,0608/5463,,0608/5463,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Site is right off the E Allen rd., in between crossroads-Kristen Dr. and Kerri Ln. Access drive is down a steep hill.",,,,,,,ON T-MOBILE PLATFORM,,,,,,,,,No,
CENTRAL,ST. LOUIS,TEK: Melissa Doyle / Smartlink:  Eddy Miao / Angela Pitchford,MO15832A,LaBelle SBA MO14432-A,Christopher Distler (CDistle1),Self Support Tower,ON-AIR,2025-12-11,70880650,200.0,,4722,,Yes,Cam Lock,50.0,,4722,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Starting from 2004 Westport Center Dr, St. Louis, MO 63146, head northwest, then turn left and shortly after, right onto Westport Center Dr. Continue for 0.3 miles, then use the left two lanes to turn left onto State Hwy D/Page Ave. Continue on MO-364 W for 20.5 miles. Take exit 1B to merge onto I-64 W/US-40 W/US-61 N toward Wentzville, then continue on US-61 N for 95.4 miles, passing Domino’s Pizza on the left along the way. Take the MO-6 W exit toward Edina/Taylor. Turn left onto MO-6 W and follow it for 27.0 miles. Then, turn right onto N 10th St, continue for 0.2 miles, and proceed onto 116th Ave. The destination in La Belle Township, Missouri, will be on the left.",,,,,,,,,,,,,,,,No,
CENTRAL,PITTSBURGH PA,,PBY2701A,"Siemens Energy - Mount Pleasant, PA",Daniel Mooney (DMooney3),In-Building BTS,ON-AIR,2025-12-11,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
CENTRAL,DETROIT MI,TEK: Westley Webber / Smartlink: Leticia Zayas,RC01005A,ATC 417084,Kevin Kuczynski (KKuczynski),Guyed Tower,ON-AIR,2025-12-11,10679486,200.0,1.0,"This is an ATC site, and you need to check in and out with them by calling 877-518-6937 Opt. 6, 1. ATC site reference number is 417084. They will provide all codes/combos and special instructions to get access. If you have any access/maintenance issues, contact ATC NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide ATC ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from ATC if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP.",,Yes,Cam Lock,50.0,No,Gate 2370,,2370,,2370,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,24X7  Kevin Kuczynski 1/16/26  Site is east of Atlanta off M-32. From Atlanta take M-32 east just before you get to M-33 turn left onto Mc Swain take to end turn right onto Pleasant Valley site on the right up small hill.,,,,,,,SSC cabinet,RC01317A,,,,,,,,No,
SOUTH,MOBILE,Kristi Anderson,9MT7187A,9MT7187A,Dylan Douglas (DDougla),Guyed Tower,ON-AIR,2025-12-11,22200451,200.0,1.0,"TowerCo 2013 LLC
Site ID:MS0131
Gate code: 8872/2279
NOC:",,Yes,Cam Lock,50.0,No,8872/2279,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Start
10 Inverness Center Pkwy
Head northeast.

Go for 197 ft.

Turn left.

Go for 509 ft.

Turn left toward Inverness Center Pkwy.

Go for 302 ft.

Turn left onto Inverness Center Pkwy.

Go for 0.3 mi.

Turn left onto Highway 280 (US-280 W).

Go for 2.1 mi.

Turn left and take ramp onto I-459 S toward Montgomery/Tuscaloosa.

Go for 19.7 mi.

Take the left exit onto I-20 W/I-59 S.

Go for 107 mi.

Continue on I-20 W/I-59 S.

Go for 23.3 mi.

Keep left onto I-59 S toward Laurel/New Orleans.

Go for 88.9 mi.

Take exit 59 toward Lucedale/Mobile/Camp Shelby/US-49/Gulfport onto US-98 E (U S Highway 98).

Go for 3.2 mi.

Take the exit toward Gulfport onto US-49 S (U S Highway 49).

Go for 12.8 mi.

Turn right onto JB Horne Rd.

Go for 1.1 mi.

Turn left onto J E Perkins Rd.

Go for 0.1 mi.

B
End at
50 J E Perkins Rd
Hattiesburg, Mississippi 39401-9540",,,NONE,,,,,,,,,,,,,No,
NORTHEAST,VIRGINIA,Charmange Stevens,VA20628A,Johnny Mitchell,Earl Wakeman (EWakema1),Monopole,ON-AIR,2025-12-11,298 591 286,200.0,,Gate combo #0951,,Yes,Cam Lock,50.0,No,see notes,,,,,No,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Head toward W Freemason St on Madison Mews.
Turn right onto W Freemason St.-0.3 mi.
Turn right onto St Paul's Blvd (US-460-ALT W)- 0.1 mi.
Turn left onto US-460-ALT W- 0.3 mi.
Continue on I-264 W- 7.5 mi.
Take the exit toward I-664/US-13/US-58/Bowers Hill/US-460/Suffolk/Richmond onto I-664 N-1.2 mi.
Take exit 13A toward Suffolk onto US-13 S/US-58 W/US-460 W (W Military Hwy). - 14.6 mi.
Take ramp onto Pruden Blvd (US-460 W) toward PETERSBURG.- 53.8 mi.
Take ramp onto US-13 S toward Ahoskie NC/VA-32/Edenton NC - r 2.9 mi.
Keep right toward Ahoskie, NC/US-13 S/Edenton, NC/VA-32 S
Continue on Carolina Rd (US-13 S) - 14.7 mi.                                                                                                       Continue on US Highway 13 N (US-13) - 8.6 mi.
Keep right onto US Highway 13 N (US-13 S) - 11.5 mi.
Turn left onto US Highway 13 S (US-13) - 3.9 mi.
Continue on Academy St S (NC-42) toward Aulander - 0.4 mi.
Continue on NC Highway 42 W (NC-42) - 0.3 mi.
Arrive at location",,,See notes,,,,,,,,,,,,,No,
SOUTH,DALLAS TX,Quin Freeman,DA06484A,DA06484A_873618,Justin King (JKing132),Guyed Tower,ON-AIR,2025-12-11,213311 or 24 095 035,200.0,1.0,"Crown Castle COMBO - 7011 or TMO 4846 / SITE ACCESS 24X7
SITE ID 873618 / FCC # 1242783
***Guyed - CLIMBABLE***",,Yes,Cam Lock,25.0,No,7011 or 4846,,7011 or 4846,,7011 or 4846,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,From Texarkana take US-59 S for 21 Miles. Take a right to continue on US-59 S for 13 miles. Take a right onto Hwy 155 S for 6.1 miles. Take a right onto County Rd 1574-A follow road pass the house down to the site. Road dead ends at the site.,,,,,,,DA08814M Windstream,On H-Frame At DA08814M,,,,,,,,No,
CENTRAL,ST. LOUIS,Angela Pitchford,MO16502B,Versailles Tillman TI-OPP-29286,Christopher Distler (CDistle1),Self Support Tower,ON-AIR,2025-12-11,71838659,200.0,,TBD,,Yes,Cam Lock,50.0,No,3862,,,,,No,,,,07:00-19:00,,,,,,,,"St. Louis Switch: Head northwest on Westport Center Dr. Turn left, then right onto Westport Center Dr. Take I-270 N, US-67 N, IL-267 N, and US-67 N for a total of 117 miles, about 2 hours and 8 minutes. Use the left two lanes to turn onto State Hwy D/Page Ave, then merge onto I-270 N toward Chicago. Take the exit for MO-367 N/Lewis and Clark Blvd, and continue on MO-367 N for 3.9 miles. Merge onto US-67 N, entering Illinois, and stay on US-67 N for 6.5 miles. Turn left onto US-67 N and continue for 4.4 miles. Slightly right onto Godfrey Rd, then turn right onto IL-267 N, following it for 47.6 miles. Turn left onto Woodson Winchester Rd, then right onto US-67 N for 22.4 miles. Turn left onto IL-104 W, then right onto IL-99 N. To reach the destination, turn right onto Cherry St, then right again onto Walnut St, where Versailles, IL 62378 will be on the left.",,,,,,,,,,,,,,,,No,
SOUTH,TAMPA FL,Noelle Moeller,A2G2126A,Weeki Wachee Gardens,Steven Smith (stevesmith),Monopole,ON-AIR,2025-12-11,366014081,200.0,,"Vertical Bridge  US-FL-5161 Combo 0951, TMO lock combo 3277
",,Yes,Cam Lock,75.0,No,VB - 0951,,,,,No,,,,,,,,,,,,"Take the Veterans North to HWY 50 (Cortez Blvd), turn left on to Cortez Blvd travel to Shoal Line Blvd, turn left on to Shoal Line Blvd travel 0.4 miles to Cofer Rd, turn right on Cofer the site is on the left side of the road. 
",,,,,,,,,,,,,,,,No,
SOUTH,MOBILE,Kristi Anderson,9MT3438A,9MT3438A,James Griffin (JGriffi3),Self Support Tower,ON-AIR,2025-12-11,10524068,200.0,,"American Tower
Site ID: 206856
Gate Code 1760, 2006,6678
GNOC: Please dial (877) 518-6937 , then choose option 2 to connect to the GNOC
(or 6 if it is a lighting issue)",,Yes,Cam Lock,50.0,,"1760, 2006,6678",,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Head west. Go for 154 ft.
Then 0.03 mi
Turn right. Go for 144 ft.
Then 0.03 mi
Turn right toward Carlyle Clos. Go for 459 ft.
Then 0.09 mi
Turn slightly right onto Carlyle Clos. Go for 276 ft.
Then 0.05 mi
Turn left onto Montlimar Dr. Go for 0.5 mi.
Then 0.5 mi
Turn right onto Airport Blvd (CR-56 E). Go for 0.5 mi.
Then 0.5 mi
Take ramp onto I-65 N toward Montgomery. Go for 11.6 mi.
Then 11.6 mi
Take exit 15 toward Saraland/Citronelle. Go for 0.3 mi.
Then 0.3 mi
Turn left onto Celeste Rd (CR-41) toward Citronelle. Go for 6.0 mi.
Then 6.0 mi
Turn right onto Radcliff Rd. Go for 0.3 mi.
Then 0.3 mi
Turn right. Go for 0.3 mi.
Then 0.3 mi
Turn sharp left. Go for 318 ft.
Then 0.06 mi
9600 Celeste Rd

Saraland, Alabama 36571-8764",,,24/7 365,,,,,,,,,,,,,No,
SOUTH,DALLAS TX,Quin Freeman,DA06346A,DA06346A,Jason Beeler (JBEELER),Guyed Tower,ON-AIR,2025-12-11,200485217,200.0,1.0,"24x7 access - Gate code 7011 - Guyed tower in hay fields. Take State park HWY and take right on FM 16 E about 1/4 mile and turn right at yellow building that has Crown Castle sign on gate. Go up driveway until you come to cattle guard and take gate to the right and go through field to get to compound. Site easy to find and access. Might need 4x4 when wet. 1706 FM 16 E, TYLER, TX, 75706 - 32.5286, -95.2669",,Yes,Cam Lock,35.0,No,7011,7011,7011,,7011,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"""Get on Dallas North Tollway S from Dallas Pkwy
Head west toward McCandless Way
Turn left onto McCandless Way
Turn right onto Warren Pkwy
Use the left 2 lanes to turn left onto Dallas Pkwy
Use the left lane to take the ramp onto Dallas North Tollway S
Take I-635 E, US-80 E and I-20 E to State Park Hwy in Smith County. Take exit 562 from I-20 E
Merge onto Dallas North Tollway S
Take the exit onto I-635 E
Slight right onto I-635 S
Take the exit onto US-80 E
Continue onto TX-557 Spur E
Merge onto I-20 E
Take exit 562 toward Farm to Market Rd 14/Hawkins/Tyler
Follow State Park Hwy to Farm To Market 16 E
Turn left onto State Park Hwy
Turn right onto Farm To Market 16 E",,,,,,,MW - Tower,MW Tower,MW Tower,,,,,,,No,
SOUTH,PUERTO RICO,Alexi Pena,PR01062A,Los Llanos- Coamo,Jorge Negron Ortiz (JNegrno1),Self Support Tower,ON-AIR,2025-12-11,W379304,200.0,,Special key.  Coordinate with technician Jorge Negron.,,Yes,Cam Lock,30.0,Yes,,,,,,Yes,Yes,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"STATE ROAD #14, KM.26.3 LOS LLANOS WARD, COAMO, PR, 00769",,,,,,,,,,,,,,,,No,
CENTRAL,MINNEAPOLIS MN,,A1Q0354A,Cloud 1,Russell Janzen (RJanzen1),Guyed Tower,ON-AIR,2025-12-11,188401820,200.0,1.0,"Access Combo: 1270
Gravel drive approx. 350’ off County rd. S.",,Yes,Cam Lock,50.0,No,"1270,5596",,"1270, 5596",,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Get on I-494 E in Bloomington from W 78th St and Marth Rd
4 min (1.2 mi) Continue to Inver Grove Heights. Take exit 66 from I-494 E
17 min (16.8 mi) Get on I-90 E in Marion 1 hr 11 min (79.4 mi)
Follow I-90 E to US-53 N/WI-157 W/I-90 ALT in Onalaska. Take exit 4 from I-90 E
53 min (62.1 mi) Continue on US-53 N/I-90 ALT. Drive to County Rd S in Hamilton

Use coordinates: 43.9491, -91.1439",,1.0,24 hours,,,,,,,,,,,,,No,
SOUTH,JACKSONVILLE,Michelle Perez,9JK2993A,Marial Lake,Stephen Lucas (SLucas1),Monopole,ON-AIR,2025-12-11,21472975,200.0,1.0,No site access details noted.,,Yes,Cam Lock,20.0,No,ATC - 2370/1760  TMO 1225/8662/8353,,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,In FL on I-10: take exit 120 and travel south on Highway 77 app. 26.9 miles to access road on the right.,,,,,,,,,,,,,,,,No,
SOUTH,DALLAS TX,,DA03953D,DA03953,Jayson Martelle (JMartelle),Utility Pole,ON-AIR,2025-12-11,764340,200.0,,50ft pole in ROW - access unrestricted,,No,No Gen Plug Available,0.0,,3593,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Use the left 2 lanes to turn left onto Stacy Rd 0.9 mi turn right onto Ridge Rd 0.9 mi  Make a U-turn at Calloway Dr Destination will be on the right 0.2 mi
6002 McKinney Ranch Pkwy McKinney, TX 75070",,,,,,,,,,,,,,,,No,
SOUTH,JACKSONVILLE,Noelle Moeller,9SA1932A,9SA1932A,Hubert Anderson (HAnders8),Guyed Tower,ON-AIR,2025-12-11,NOT PROVIDED,200.0,1.0,"*********************
Lease Access Details
*********************
Vertical Bridge Sites:
This is a Vertical Bridge (VB) site, and you need to check in and out with them by calling 877-589-6411 or email aton.noc@spx.com. VB site reference number is US-GA-5009. Please verify all codes/combos and special instructions to get access.  If issue, call NOC to verify info or open ticket. Get NTP from VB if needing tower climb. 


*************************
Additional Access Details
*************************
",,Yes,Cam Lock,50.0,No,"VB - 0951, 5092  TMO - 1225, 8662",,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Exit 104 of I -16 take Hwy 23 / 121 South to Donnell Rd. turn left there and take to Hensley Rd turn right there, take to Tower Circle and follow dirt road to tower. You will see the tower from the road.",,1.0,24hrs,,,,,,,,,,,,,No,
NORTHEAST,NORTH CAROLINA,Byron Scyzgial,5CT1231A,ATC 419282,Brent Reid (SReid21),Self Support Tower,ON-AIR,2025-12-11,24515899,200.0,,"This is an ATC site, and you need to check in and out with them by calling 877-518-6937 Opt. 6, 1. They will provide all codes/combos and special instructions to get access. If you have any access/maintenance issues, contact ATC NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide ATC ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from ATC if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP.",,Yes,Cam Lock,25.0,No,This is an ATC site.  Please call the (NOC) at 877-518-6937. They will provide access codes/combos.,,,,,Yes,Yes,Yes,Yes,,,,,,,,,Travel  485 to exit 16 (HWY 16-Newton Brookshire BLVD) turn left onto brookshire BLVD and travel 16 N for ~ 11 miles and then exit onto HWY 73 west and travel 5 miles until you get to Tucker Grove Ch. Rd. on your left turn onto Tucker Grove for ~ 300 ft at intersection stay streight onto Brevard Place Rd. Travel for 3 mile on this road and turn Rigth onto Orchard Rd. travel for 1.5 miles and Gravel Driveway off of  Orchard Rd on your right beside mailbox labled 4022 and between Mobile Home and Brick House on right.,,,,,,,,,,,,,,,,No,
NORTHEAST,NORTH CAROLINA,Byron Scyzgial,5FA1071A,ATC 280412,Roger Hilburn (DHilbur),Self Support Tower,ON-AIR,2025-12-11,139 183 427,200.0,,1760 ATC combo or 8727 TMO combo,,Yes,Delta Quick Connect,50.0,No,1760 ATC combo or 8727 TMO combo,,1760 ATC combo or 8727 TMO combo,,1760 ATC combo or 8727 TMO combo,Yes,Yes,Yes,Yes,,,,,,,,,"From Fayetteville, NC take Camden rd to Tc Jones Rd in McLauchin (26 miles), continue on Tc Jones rd and turn Right onto Welsh Rd. Tower gate is on Left side. 34.969528, -79.083446",,,,,,,,,,,,,,,,No,
NORTHEAST,CENTRAL PA,,2LU8783A,Crown 856994 - Rt 118 & 29,Larry Ealey (LEaley1),Self Support Tower,ON-AIR,2025-12-11,194216,200.0,,"Access Notes Updated 3/13/2026 by Lealey1
Routine/Emergency Access: 1522 PA-29, Hunlock Creek, PA.  Turn into the driveway with a cluster of 6 mailboxes.  Follow the driveway 100yds and turn left behind garage to the onto the stone road.  Follow the stone access road to the right about a 1/2 mile through field then left through woods to the compound.",,Yes,Cam Lock,30.0,No,7011,,7011,,7011,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"475 Virginia Dr. Fort Washington, PA 19034.
Head northeast on Virginia Dr.
In 1.3 mi, Turn right to merge onto I-276 W. TOLL ROAD.
In 5.4 mi, Use the right 2 lanes to take exit 20 to merge onto I-476 N toward NE Extension/Allentown. TOLL ROAD.
In 23.9 mi, Keep left to stay on I-476 N.
In 44.1 mi, Keep right.
In 1.6 mi, Merge onto I-476 N.
In 15.6 mi, Take exit 105 for PA-115 N toward Wilkes-Barre. TOLL ROAD.
In 0.7 mi, Turn left onto PA-115 N.
In 4.0 mi, Continue onto N Cross Valley Expy.
In 0.3 mi, Continue onto PA-309 N/N Cross Valley Expy (signs for I-81 S/Hazleton/Wilkes-Barre).
In 1.7 mi, Keep left to stay on PA-309 N.
Use the left 2 lanes to turn left onto Hillside Rd (signs for Penn State WB).
In 3.2 mi, Slight right onto Old Rte 115.
In 0.9 mi, Turn left to stay on Old Rte 115.
In 2.6 mi, Turn left onto PA-118 W.
In 3.3 mi, Turn left onto PA-29 S.
Destination will be on the left in 0.6 mi.
1522 PA-29. Hunlock Creek, PA 18621",,,,,,,,,,,,,,,,No,
SOUTH,MOBILE,Kristi Anderson,9MT7153A,Prescott,Robert Trapp (RTrapp),Guyed Tower,ON-AIR,2025-12-11,162163520,200.0,1.0,"Vertical Bridge
Site ID: US-AL-5048
Gate Code: 0951
NOC:877-589-6411
Gate Code: 7153",,Yes,Cam Lock,50.0,No,0951,0951,0951,,0951,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Head west. Go for 154 ft.
Then 0.03 mi
Turn right. Go for 144 ft.
Then 0.03 mi
Turn right toward Carlyle Clos. Go for 459 ft.
Then 0.09 mi
Turn slightly right onto Carlyle Clos. Go for 276 ft.
Then 0.05 mi
Turn left onto Montlimar Dr. Go for 0.5 mi.
Then 0.5 mi
Turn right onto Airport Blvd (CR-56 E). Go for 0.3 mi.
Then 0.3 mi
Take ramp onto I-65 S toward I-10. Go for 3.1 mi.
Then 3.1 mi
Take left exit 0 toward Florida onto I-10 E. Go for 23.9 mi.
Then 23.9 mi
Take exit 44 onto AL-59 S (N Hickory St). Go for 3.4 mi.
Then 3.4 mi
Continue on State Highway 59 (US-90). Go for 3.6 mi.
Then 3.6 mi
Continue on Milwaukee St (US-90). Go for 0.1 mi.
Then 0.1 mi
Turn left onto US Highway 90 (US-90 E). Go for 15.9 mi.
Then 15.9 mi
32622 US Highway 90

Seminole, Alabama 36574-7806",,,NONE,,,,,,,,,,,,,No,
SOUTH,MOBILE,Kristi Anderson,NO07281A,Caesar,Anthony Trusgnich (ATrusgn1),Guyed Tower,ON-AIR,2025-12-11,7100091786,200.0,1.0,"K2 Towers III, LLC
Site ID:MS-7 Caesar
Gate code: 4099
NOC:(866) 962-0904",,Yes,Cam Lock,50.0,,4099,4099,4099,,4099,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Start
10 Inverness Center Pkwy
Head northeast.

Go for 197 ft.

Turn left.

Go for 509 ft.

Turn left toward Inverness Center Pkwy.

Go for 302 ft.

Turn left onto Inverness Center Pkwy.

Go for 0.3 mi.

Turn left onto Highway 280 (US-280 W).

Go for 2.1 mi.

Turn left and take ramp onto I-459 S toward Montgomery/Tuscaloosa.

Go for 19.7 mi.

Take the left exit onto I-20 W/I-59 S.

Go for 107 mi.

Continue on I-20 W/I-59 S.

Go for 23.3 mi.

Keep left onto I-59 S toward Laurel/New Orleans.

Go for 138 mi.

Take exit 10 toward Carriere.

Go for 0.2 mi.

Turn left onto W Union Rd.

Go for 5.8 mi.

Turn left onto Bouie Rd.

Go for 0.6 mi.

Turn left onto Shot Mitchell Rd.

Go for 0.1 mi.

B
End at
35 Shot Mitchell Rd
Carriere, Mississippi 39426-9132",,,NONE,,,,,,,,,,,,,No,
